ufid,size,X._treated,X._censored,X._effect_size,effect_size,link_type,snr,tx_importance,deg.y.,deg.z.,deg.c.,n_conf.y.,n_conf.yz.,n_conf.z.,n_conf.c.,n_conf.cy.,n_conf.cz.,n_conf.cyz.,dgp,instance,random_seed
aa57a3f1b49f43d69c623b8afa9563ba,10000,72.2796682876,0,1.1933157619900001,0.42841065622900004,poly,0.841833136697,NA,1,1,-1,3,7,0,0,0,0,0,0,9,94877
8e0e0670be8f4d1eacd67ee28fc816be,5000,57.3678824095,0,15.2684394819,0.535027737705,poly,0.8528533742209999,NA,1,3,-1,2,8,0,0,0,0,0,0,4,307553
39a4a172dcc44fe7a2c3349630aa14ef,5000,50.7909168625,0,-0.126776298192,-7.6074640767999995,poly,0.839553222132,NA,1,1,-1,2,8,0,0,0,0,0,0,8,847471
59aab13e97754870890252ea62a21cf6,10000,66.3500743353,0,17.8225322671,1.4186310502700001,poly,0.8527412012800001,0.51389834237,2,1,-1,3,4,3,0,0,0,0,1,0,735354
b2744e80e70446c2a9154113d78b88c7,5000,64.0215164333,0,-4.37750767746,-1.42664188486,poly,0.848850443933,0.480898346963,3,3,-1,5,3,2,0,0,0,0,1,1,418669
0bddc95033084ceca74d8e2153919f4f,10000,76.7893927655,0,-5.24524103335,-1.13333562375,poly,0.864421956707,0.51389834237,1,3,-1,3,4,3,0,0,0,0,1,4,405639
0eb9719a7e5c45259e3f7142487f6685,5000,46.6566394075,0,-0.7170195659499999,-0.0115724273355,log,0.87198077213,NA,9,7,-1,3,5,2,0,0,0,0,2,1,286372
3333771701264a0bbcfeabf443bf3f3a,5000,45.880946004399995,0,-25.888928549,-1.42081837405,exp,0.878457496352,NA,9,7,-1,3,5,2,0,0,0,0,2,6,624234
cb769456aeea4ec59b0edc0a32dfebcc,5000,31.9157554448,0,3.3528379360000002,0.056951484879,log,0.852590983077,NA,9,7,-1,3,5,2,0,0,0,0,2,9,474373
e979147cf22b4dc0b5b8ad7e6abe29f5,10000,61.823416773299996,0,2.0645097037,-0.04077564525,log,0.862212961421,0.62133493456,6,8,-1,2,3,5,0,0,0,0,3,7,907658
99befd1fd1d34fec98278b00ea857752,10000,68.1386888011,0,-7.98717509545,-0.0914323102012,exp,0.8601969788930001,0.62133493456,6,8,-1,2,3,5,0,0,0,0,3,2,155299
1825c912468e4e9a99dd494dfbe462b4,5000,43.851212322100004,0,-5.302196541,-0.043786733118,exp,0.8844873470819999,0.5581106265510001,7,7,-1,3,3,4,0,0,0,0,3,1,693964
8f855bad3d1a41d5a8a5c25b2687864e,10000,50.9625819666,0,24.4011484811,-6.56832956457,poly,0.9361347275409999,NA,1,3,-1,7,0,3,0,0,0,0,4,2,38123
c063f02840c04fdd8a68b7cf021ad272,5000,55.85461177689999,0,10.9297432476,-2.1694264221400004,poly,0.9317856615350001,NA,1,3,-1,4,2,4,0,0,0,0,4,6,332672
2dddf963807e4f06aaadca8df9bf85ca,10000,56.582489485299995,0,0.46494815197300005,-4.6554303273699995,poly,0.963108909692,NA,3,2,-1,7,0,3,0,0,0,0,4,6,393537
f3639c6812ce4a0ebf62247a652f9e9e,10000,65.7856720579,0,-2.8119977628,-0.46187393979099994,poly,0.939550389798,0.455119613313,1,3,-1,4,5,1,0,0,0,0,5,2,486084
02088eabc1ed4044bbffd04086238d73,10000,37.2266180491,0,19.3466953998,4.4929733525,poly,0.9497817941009999,0.455119613313,3,3,-1,4,5,1,0,0,0,0,5,8,161526
ba652c91d91648eeb72452cbfff2b6cc,5000,72.8859935114,0,17.6523911697,1.3288597417499999,poly,0.9797781900929999,0.62133493456,2,1,-1,4,1,5,0,0,0,0,5,8,507033
405300e5ce2541569d97ccf6f30a9442,10000,50.094847656599995,0,2.36126042314,-0.011173750117200001,log,1,NA,9,7,-1,3,5,2,0,0,0,0,6,1,75810
958b067c3cc54734b3e7d1d2df803608,10000,62.0865492615,0,-3.69983332319,-3.87377389079,exp,0.921012705977,NA,9,7,-1,3,5,2,0,0,0,0,6,4,805371
0c2d7d676f464277a7054fdd240d414a,5000,47.09877895020001,0,-764.9463110160001,0.9353857031910001,log,0.951555248924,NA,4,8,-1,2,1,7,0,0,0,0,6,4,819496
16d018f21c4447ba84bcc3ff55d75ad5,10000,57.593798848199995,0,-185.513893247,1.9815231656599999,log,0.9500410716299998,0.7213475204440001,5,9,-1,1,3,6,0,0,0,0,7,2,597981
d9be240c4d634943b00bb11952f9ca49,10000,62.169518168100005,0,-7.4979692040999995,-0.0961165135108,exp,0.995248474129,0.7213475204440001,5,9,-1,1,3,6,0,0,0,0,7,6,535009
da8ea9edb8474ca5936d49e1f2aa97de,10000,53.2749844129,0,-9.48508566864,-2.1111739362099997,exp,0.9708728666449999,0.7213475204440001,5,9,-1,1,3,6,0,0,0,0,7,8,774172
7237e7a624664414afe159630bf02c2e,5000,23.324348894899998,0,1.49387821347,2.5628753423900004,poly,0.859577377289,NA,2,2,-1,2,7,1,0,0,0,0,8,6,411479
b20ce50693224437b2b4036847308639,10000,13.1158479725,0,-0.141554007229,-0.855585764426,poly,0.8703827069560001,NA,3,3,-1,7,3,0,0,0,0,0,8,1,650853
a515b8aabf9b41d1882630feef1e66d2,10000,30.918664802600002,0,0.039200601038800006,8.44523464784,poly,0.857006593686,NA,3,1,-1,7,3,0,0,0,0,0,8,3,816573
2550a226b940462dbb414b115f5ae8f3,5000,7.0543720178100005,0,-2.72303647322,-0.450344288882,poly,0.895734682186,0.51389834237,3,2,-1,7,0,3,0,0,0,0,9,0,267061
386b6a5e615e4005aaa013c8249d9eda,10000,18.9108790528,0,23.744668333099998,-0.610435157307,poly,0.852787295373,0.51389834237,2,2,-1,4,3,3,0,0,0,0,9,1,657037
4153abd0e2a64f05ae0d7396a0ef451e,10000,16.541140454,0,1.28761102625,-0.519429810607,poly,0.8630100191590001,0.51389834237,2,3,-1,4,3,3,0,0,0,0,9,7,656616
cae79d12a23c4df49139d9c5d6b81988,5000,20.6240893698,0,-170.65378359,-6.54616571722,exp,0.858351312641,NA,2,9,-1,1,0,9,0,0,0,0,10,3,538551
1ef04f2389764c19830c2dcc8f1da5cd,10000,7.39207364207,0,189.69567790099998,-0.229651962512,log,0.863285377677,NA,4,7,-1,3,0,7,0,0,0,0,10,5,954264
84bdfece754f4a3583495a5a1a9c2398,5000,18.262675699000003,0,-58.2600434899,0.42247086050300003,log,0.8436419742649999,NA,2,9,-1,1,0,9,0,0,0,0,10,0,34
85150ec691854843817f4116008075e4,5000,29.222403557800003,0,-241.83937739200002,4.34961096019,log,0.8643783626010001,0.7213475204440001,5,6,-1,4,0,6,0,0,0,0,11,5,10707
f8feb61f74744b13ac09f00e3f24e915,5000,25.0086951605,0,8.49499971418,0.0463409675352,exp,0.880199680951,0.7213475204440001,5,6,-1,4,0,6,0,0,0,0,11,4,963395
3f60e679c3e5428397428f45f8fbd3df,5000,22.2464523041,0,-72.67135664359999,-0.16159630123299998,log,0.85611772561,0.7213475204440001,5,6,-1,4,0,6,0,0,0,0,11,6,374164
b4c551b9d0114c5087e64352876ad3b9,10000,34.7649907969,0,77.5392316012,-1.47552804826,poly,0.984687763117,NA,1,2,-1,1,2,7,0,0,0,0,12,8,777689
f5eb5080744241008ebf473474a799e3,10000,25.4610401784,0,14.5664543102,7.9935266912100005,poly,0.943019115937,NA,3,2,-1,1,2,7,0,0,0,0,12,3,967180
d3918aaf09b3469f8ac25f4e49a6d1ae,10000,18.5585420174,0,4.9316266945,-3.6521299833499996,poly,0.9354471054189999,NA,3,1,-1,1,2,7,0,0,0,0,12,6,920864
60d67701d9fe4b478d4872f97c4ef0e1,10000,32.5487643628,0,65.93778935659999,-0.903801033864,poly,0.950726722877,0.434294481903,2,3,-1,7,3,0,0,0,0,0,13,1,613168
715f33728d0545bba499db7a1050cb02,10000,8.09993691922,0,-2.8980450467799996,-1.91752971322,poly,0.950519942889,0.434294481903,3,1,-1,7,3,0,0,0,0,0,13,3,76918
1ad972ec77954bcd941637125088173c,5000,31.2183590805,0,2.06249337447,-0.026726200327,poly,0.982130883236,0.480898346963,2,2,-1,0,8,2,0,0,0,0,13,8,969005
941551f244814907af7280e4709537ce,10000,25.0955517865,0,1.28242133771,0.029826077600099997,log,0.958782802615,NA,10,3,-1,7,2,1,0,0,0,0,14,7,179374
00f0cf0a26884ee89a7b8b24f688cdab,10000,10.9847583092,0,-27.321859507600003,-1.0249888602500001,exp,0.965755640931,NA,10,3,-1,7,2,1,0,0,0,0,14,3,942691
3c744cc6825e4521961507b43c00a9f7,5000,15.7629570879,0,1.5204829401299997,0.0173693033519,log,0.958911172644,NA,8,5,-1,5,2,3,0,0,0,0,14,5,525050
fcdeb55efbf34482a2e0d9e2227cd9e1,5000,6.399040990980001,0,-234.27211463700002,0.686112479036,log,0.914574837391,0.5581106265510001,7,5,-1,5,1,4,0,0,0,0,15,4,547973
75a52bc894434238b44e53be249d3fc3,10000,24.3262539404,0,66.83063909149999,0.784195630084,exp,0.9162141069769999,1.44269504089,3,9,-1,1,1,8,0,0,0,0,15,3,677896
668c6dc5b0cb45ec9334e3da7f207127,10000,4.51987664481,0,72.4483542374,4.8343659987,exp,0.941229577382,1.44269504089,3,9,-1,1,1,8,0,0,0,0,15,2,784682
3ddace6686da449bb4ea3a684ebe922d,10000,53.9454236562,0,-0.6615651500299999,14.054548263800001,poly,0.83152522253,NA,2,2,-1,11,5,4,0,0,0,0,16,4,43417
a4738899758642e8bafca4e69994147b,10000,52.6815830804,0,-0.017299552127200003,0.687828252239,poly,0.838327069004,NA,2,2,-1,11,5,4,0,0,0,0,16,1,329507
df8819e0c86b47dd86c0109a866ce5c9,10000,43.6947381563,0,5.34636891152,-4.59398883025,poly,0.836944972538,NA,1,3,-1,11,5,4,0,0,0,0,16,8,203129
1fa62054f2924fccb2d895e4ffb6f73d,5000,51.2908570829,0,-6.48072560471,0.9645279734890001,poly,0.823282976643,0.480898346963,3,1,-1,8,0,12,0,0,0,0,17,4,362632
3f3cdb406ddf4399982a7f8fb147e361,10000,44.748984192399995,0,-20.5409050459,2.3984159836,poly,0.836147021222,0.33962327189499997,3,1,-1,18,1,1,0,0,0,0,17,0,866389
39351df510784bcb8d10171147bdf956,10000,44.79134101020001,0,-34.145307292800005,-1.13382057674,poly,0.847271225671,0.33962327189499997,2,3,-1,18,1,1,0,0,0,0,17,8,6819
75e531dad16a409da433f1d48a37b245,10000,87.0744275216,0,13.1660585846,-0.251764288983,log,0.894846933697,NA,17,14,-1,6,10,4,0,0,0,0,18,9,584676
299bea0dbdcb403cb17b0e84c7133edf,5000,46.1638957279,0,7.070807123080001,0.46800059100599994,exp,0.852812677464,NA,17,14,-1,6,10,4,0,0,0,0,18,2,700341
48950f8461df46c6bd22c2ec36d614be,10000,59.723599494300004,0,11.8326838559,0.0812155030888,exp,0.847471243693,NA,17,14,-1,6,10,4,0,0,0,0,18,1,691032
da208f1f4073436ea1c44c058e3534e3,10000,46.374183244499996,0,-1.1912294672700001,0.007767201940770001,log,0.8444615199879999,0.333808200695,21,13,-1,7,13,0,0,0,0,0,19,6,711179
c92cc443f07b4c1ea78d267f35927a74,5000,70.23392887199999,0,-6.858013549880001,0.146139250514,log,0.8225943558930001,0.389871245251,14,15,-1,5,8,7,0,0,0,0,19,4,949283
0dae29d741ed4535a2375bc681fda849,5000,70.4704453112,0,22.844931486999997,0.296031882802,exp,0.881554199529,0.389871245251,14,15,-1,5,8,7,0,0,0,0,19,3,160341
b8f4613893fc452291a13215ec17e592,10000,70.14270708020001,0,-17.1982450073,-6.12770702883,poly,0.947283482473,NA,2,1,-1,0,11,9,0,0,0,0,20,9,874452
801ebfa065ae419780b2e691ff836323,10000,55.970537049899995,0,-0.08873582529179999,-4.9910282618199995,poly,0.9227924752399999,NA,2,2,-1,0,11,9,0,0,0,0,20,1,262349
b3bbaa66803a475da419a9ccbbf0b3b3,5000,56.0844316251,0,-0.0206028380716,1.1663531542299999,poly,0.919035151064,NA,1,2,-1,9,10,1,0,0,0,0,20,0,282253
59248db155f94fc8bb59b7dc784e3176,10000,55.6308733372,0,2.77481495964,0.46983905943000004,poly,0.9630138311499999,0.33962327189499997,2,2,-1,17,2,1,0,0,0,0,21,1,438303
81688a6bb8404484b9c807e461580a12,10000,64.7257466976,0,-13.4831362629,-1.21313799081,poly,0.9477494096269999,0.33962327189499997,2,1,-1,17,2,1,0,0,0,0,21,2,428362
5abf34fc614d4d5f9a42024094637ed9,5000,37.5148242876,0,-14.4179981714,-2.6198529485599997,poly,0.944964240741,0.34597625626100004,3,1,-1,3,15,2,0,0,0,0,21,4,110770
8daec94e42ab4c9eaf4a6b656389a879,10000,45.751181236099995,0,-3.2948102653299998,-0.0491328940213,log,0.954446381151,NA,17,10,-1,10,6,4,0,0,0,0,22,6,592007
58b50105370745e28969740a2bef0aee,5000,63.4666666071,0,-3.7364271709099994,0.00812237134864,log,0.938754039301,NA,19,7,-1,13,5,2,0,0,0,0,22,0,105221
7f9b2da504a14860a55de4a0a19db383,5000,47.3631774472,0,-3.6030072189199998,-0.0475899682102,log,0.96350461551,NA,19,7,-1,13,5,2,0,0,0,0,22,5,425822
9645c6f938b741bb93c5cbc4688822b5,5000,55.8534139269,0,25.4564541035,-0.539609872024,log,0.9566582736929999,0.352956123865,18,15,-1,5,12,3,0,0,0,0,23,7,80501
966c17f7fdfe4e0c93cbc4516aca6645,5000,48.778990229099996,0,5.96789670055,0.0695508931691,exp,0.9774151574259999,0.352956123865,18,15,-1,5,12,3,0,0,0,0,23,2,371946
2e3b3ffc10e14ef686b47d9535d75a7c,10000,43.188783658,0,35.793676679899995,-1.5428742904600001,log,0.9625586251389999,0.389871245251,14,9,-1,11,2,7,0,0,0,0,23,4,390417
90a08042345440269d20732e90577cc6,10000,27.5896792872,0,0.051376153093099994,3.3729817796900003,poly,0.840511798979,NA,1,3,-1,2,15,3,0,0,0,0,24,8,35605
d512905e9737474a99b1d5a339b4f1f6,10000,21.8715424904,0,0.973730414949,-0.425205086162,poly,0.868183092278,NA,1,3,-1,2,15,3,0,0,0,0,24,0,658404
fcf1161ac788473698c156b15f506078,5000,34.1636377684,0,-0.037307893500599994,2.70326012135,poly,0.801801205092,NA,3,1,-1,0,12,8,0,0,0,0,24,9,75445
648ace3b28564d8295c6747ea46966b8,5000,32.202090010999996,0,-0.274914419882,-0.033337368590099996,poly,0.852816838073,0.41703239142399995,2,2,-1,1,10,9,0,0,0,0,25,1,27775
f4fe9fd9c02d416d9e2971a82d7961e5,10000,12.951424383099999,0,8.517331784389999,-0.42480751492700003,poly,0.8248056925589999,0.33962327189499997,3,1,-1,16,3,1,0,0,0,0,25,0,473194
8138b272bf994367af66ac2fa1dfd497,5000,29.314176445500003,0,4.15468760008,-1.85881688505,poly,0.822989240108,0.41703239142399995,2,2,-1,1,10,9,0,0,0,0,25,2,92952
e39caf4a70134d96b588aec163c1c9b1,5000,6.980276075510001,0,26.6345934452,1.5501646800400002,exp,0.8268091890989999,NA,17,15,-1,5,11,4,0,0,0,0,26,5,209764
55352fa792234274985e49ed083d8cfc,5000,12.9171602437,0,33.7733850308,0.131243546338,log,0.811455907486,NA,17,15,-1,5,11,4,0,0,0,0,26,8,393057
4e72770629f642e5a1fb703e3825f01a,5000,21.3777222898,0,0.27097683674199996,0.00615095650943,log,0.842987614945,NA,17,15,-1,5,11,4,0,0,0,0,26,7,177257
80b4d5e4c7ee483791962ecd05c77c34,5000,23.6940490494,0,-3.68636721617,-0.025428745519599998,exp,0.835879764076,0.33962327189499997,20,9,-1,11,8,1,0,0,0,0,27,9,423561
0fb0a30cc29a400bba636e07f75a9ede,10000,19.559242676500002,0,-0.39982776061499997,-0.00837521170361,log,0.796480328608,0.352956123865,18,12,-1,8,9,3,0,0,0,0,27,7,99619
25a812d81bfc456fa56e30f05a313e1c,10000,3.9876365334199995,0,2.36793382656,0.0146245287138,exp,0.8528150747,0.352956123865,18,12,-1,8,9,3,0,0,0,0,27,0,170063
8d4c047ba1934a97a5d73fda9ed81e73,10000,20.4554898841,0,-286.601341021,-1.29544173025,poly,0.9788988280679999,NA,2,2,-1,1,0,19,0,0,0,0,28,8,749488
5a6704d10276409f9a6c2d4f852f46ad,10000,34.446364918600004,0,71.8713625564,2.03993635559,poly,0.961828264091,NA,2,3,-1,1,0,19,0,0,0,0,28,7,957677
f9e0d9f3825842408bfcdf171c3bc2fb,10000,20.568999772799998,0,28.9173031909,0.788171017683,poly,1,NA,3,1,-1,1,0,19,0,0,0,0,28,4,14765
96bd6811ae2547fe84d8c43cf33e1dc3,5000,49.1222289842,0,-9.98677104771,-0.580718626993,poly,0.9502536222329999,0.33962327189499997,3,3,-1,3,16,1,0,0,0,0,29,6,386802
a9878e9b028e41d0ad88b19f56868e43,5000,26.604920791399998,0,5.49709678395,-0.775874185133,poly,0.944573120784,0.33962327189499997,2,3,-1,3,16,1,0,0,0,0,29,2,509666
7b9c6c1c31734bbea1675969f1684c14,5000,22.8233806806,0,9.011503778789999,2.5497123840099998,poly,0.9418279084319999,0.33962327189499997,1,1,-1,3,16,1,0,0,0,0,29,7,304385
1316d57b936c40e39dede59e4646cd5d,10000,36.3276415045,0,85.0862530646,0.188518606779,log,0.957090244913,NA,14,8,-1,12,1,7,0,0,0,0,30,0,893840
aacab1d4e80a4a63b7c863bd02effa11,10000,22.7214376954,0,14.072139339100001,0.0167237486957,exp,0.9602042783670001,NA,14,8,-1,12,1,7,0,0,0,0,30,1,884291
ffbd1dcffec54535945dbce7aa928ecc,10000,18.745485686,0,-0.31166894463000006,-0.171734131466,exp,0.9518889172470001,NA,14,8,-1,12,1,7,0,0,0,0,30,6,326515
4ccfdb653a31495f96e0f75534a06b3a,10000,21.9091143295,0,19.1158780984,0.0770721001823,log,0.96157343005,0.51389834237,8,17,-1,3,4,13,0,0,0,0,31,3,669067
79c99725f5e94c67a771810aa2e96d04,10000,17.3484107677,0,-66.2704308907,-0.34243335522600005,exp,0.9595033212909999,0.51389834237,8,17,-1,3,4,13,0,0,0,0,31,5,172247
e50fd27795674b95a873891bb56ef363,5000,27.414247051799997,0,-28.0995397731,0.29688578602800003,log,0.9601569889820001,0.36067376022200004,17,16,-1,4,12,4,0,0,0,0,31,5,575418
c8ae3d7f5c9148aaa88bbaf5f1d58e4e,5000,55.873911739300006,0,-0.00576277602862,8.33570535649,poly,0.843645071286,NA,3,2,-1,8,20,22,0,0,0,0,32,9,562366
