file,auc
24b5430f5d814e01915a944ef5228145.csv,0.524073
958b067c3cc54734b3e7d1d2df803608.csv,0.526115
59248db155f94fc8bb59b7dc784e3176.csv,0.526619
718378a362b8485ca74adf971d2d64b4.csv,0.531915
24976ee65bd144329f8853e759dcd6ce.csv,0.532166
ffbd1dcffec54535945dbce7aa928ecc.csv,0.533591
0eb9719a7e5c45259e3f7142487f6685.csv,0.54051
0c2d7d676f464277a7054fdd240d414a.csv,0.542939
dff10a10a770494197d5cad7850bec44.csv,0.544444
fd89a25bdb8543d48ae6770a37a92d62.csv,0.544646
cae79d12a23c4df49139d9c5d6b81988.csv,0.545655
cce5540803234649bf0c47b3b26527e7.csv,0.545685
f51e937cf6fa40c9bb2237be35e94ce5.csv,0.546699
828b1525efcb44e981c1d2d6b01cfbec.csv,0.549074
c92cc443f07b4c1ea78d267f35927a74.csv,0.549273
aacab1d4e80a4a63b7c863bd02effa11.csv,0.549312
668c6dc5b0cb45ec9334e3da7f207127.csv,0.549607
15167ac8f7024d48a77583888fac489d.csv,0.550003
9645c6f938b741bb93c5cbc4688822b5.csv,0.550013
c6600706af8a4ac784d109f09c22b465.csv,0.550049
941551f244814907af7280e4709537ce.csv,0.550054
7f9b2da504a14860a55de4a0a19db383.csv,0.551765
1825c912468e4e9a99dd494dfbe462b4.csv,0.552148
e979147cf22b4dc0b5b8ad7e6abe29f5.csv,0.55304
3f3cdb406ddf4399982a7f8fb147e361.csv,0.555157
c2461d1c5cf84739be14acb07c83a913.csv,0.555189
80b4d5e4c7ee483791962ecd05c77c34.csv,0.555492
8f855bad3d1a41d5a8a5c25b2687864e.csv,0.55617
d493605b4861473c909c4a5a883233d0.csv,0.556259
00f0cf0a26884ee89a7b8b24f688cdab.csv,0.556499
1655c8e6e0594ec5a7cad780c3189ea1.csv,0.557967
cca7547c722c4c8cba191bb9d39977df.csv,0.558619
1ebe28fe8e254072bce1b31d3dfd45b7.csv,0.560109
cb769456aeea4ec59b0edc0a32dfebcc.csv,0.56072
d9c0053e793a42daa02cfccbca7cbce6.csv,0.562384
16d018f21c4447ba84bcc3ff55d75ad5.csv,0.563271
0fb0a30cc29a400bba636e07f75a9ede.csv,0.565115
3f60e679c3e5428397428f45f8fbd3df.csv,0.56654
8daec94e42ab4c9eaf4a6b656389a879.csv,0.568098
75e531dad16a409da433f1d48a37b245.csv,0.56842
84bdfece754f4a3583495a5a1a9c2398.csv,0.569177
966c17f7fdfe4e0c93cbc4516aca6645.csv,0.573292
d9be240c4d634943b00bb11952f9ca49.csv,0.575343
4e72770629f642e5a1fb703e3825f01a.csv,0.575825
c063f02840c04fdd8a68b7cf021ad272.csv,0.575979
405300e5ce2541569d97ccf6f30a9442.csv,0.576311
6ecce3b0962949f4ba2ef26d8ccd796d.csv,0.576626
99befd1fd1d34fec98278b00ea857752.csv,0.576642
ae021576c9b248b5942fbc7c1a0539df.csv,0.577125
8e0e0670be8f4d1eacd67ee28fc816be.csv,0.579
495e34dd40a440e5b0f05f90d30dc835.csv,0.57969
1ef04f2389764c19830c2dcc8f1da5cd.csv,0.58252
299bea0dbdcb403cb17b0e84c7133edf.csv,0.583061
81688a6bb8404484b9c807e461580a12.csv,0.586929
b2744e80e70446c2a9154113d78b88c7.csv,0.586951
d60da64c0a1f40acaf11fd2d05cf78ff.csv,0.587742
58b50105370745e28969740a2bef0aee.csv,0.587874
981855d7aaa6429699e084c0b247ea6c.csv,0.589196
120391690394493cb9c81799e3389ce9.csv,0.593246
3c744cc6825e4521961507b43c00a9f7.csv,0.595067
d9e2c704345b40e990315d4f8f077b5e.csv,0.597827
02da8cb6ac2b4eb1ad4f1d129219baf9.csv,0.599441
1316d57b936c40e39dede59e4646cd5d.csv,0.601839
bf283c2e0ae34acc86d076409da57f2c.csv,0.604646
39351df510784bcb8d10171147bdf956.csv,0.606013
0e8e6d1a5d074eb4a7b566650598a981.csv,0.60871
55352fa792234274985e49ed083d8cfc.csv,0.608945
8c9d57ae672240b3b2daba70ee85557b.csv,0.609523
4ccfdb653a31495f96e0f75534a06b3a.csv,0.60975
29a268ccc2dd4036b399cdd98ef0f21b.csv,0.609992
21a496c53ab14471b63f710569378788.csv,0.610327
a4738899758642e8bafca4e69994147b.csv,0.610931
beffae06902e48eabf704aca101d4310.csv,0.614148
da208f1f4073436ea1c44c058e3534e3.csv,0.615125
6c70819885664bbf83c6d472627f69ad.csv,0.620717
bdeb3a983e9244cd803a296cf0b3f2e2.csv,0.624596
85150ec691854843817f4116008075e4.csv,0.629318
a515b8aabf9b41d1882630feef1e66d2.csv,0.634207
745920136a6442f3972809ad6dcfc172.csv,0.635576
3779a0a83d654c0886753cbb4c8cc436.csv,0.636335
f8feb61f74744b13ac09f00e3f24e915.csv,0.639635
801ebfa065ae419780b2e691ff836323.csv,0.646848
b384c050d147416fbb9d0c518b4d91a1.csv,0.649307
2e3b3ffc10e14ef686b47d9535d75a7c.csv,0.655366
90a08042345440269d20732e90577cc6.csv,0.656423
39a4a172dcc44fe7a2c3349630aa14ef.csv,0.657455
2dddf963807e4f06aaadca8df9bf85ca.csv,0.670484
e7739d6f6cdc4493a095b619a9ae415f.csv,0.670929
75a52bc894434238b44e53be249d3fc3.csv,0.678263
02088eabc1ed4044bbffd04086238d73.csv,0.687638
0dae29d741ed4535a2375bc681fda849.csv,0.691836
c8ae3d7f5c9148aaa88bbaf5f1d58e4e.csv,0.695447
2177de4c71644bdd9a51d37e27810f95.csv,0.703522
249d83fcfe8643b0a97887443db3fe57.csv,0.707601
c860cff73661490fb512112a2d39cf5e.csv,0.724572
96bd6811ae2547fe84d8c43cf33e1dc3.csv,0.726624
8ae42e6d44c747b0bdb33113c633174e.csv,0.727203
ccaf0ac44b314eb0ac59acdec4f57fe7.csv,0.735434
e50fd27795674b95a873891bb56ef363.csv,0.737034
0bddc95033084ceca74d8e2153919f4f.csv,0.745434
731bc875a12e4789be0aa5b27c0b431d.csv,0.74693
